Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM8028973,"HDT1_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028973/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028974,"HDT1_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028974/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028975,"HDT1_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028975/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028976,"HDT1_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028976/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028977,"HDT2_S#B1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028977/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028978,"HDT2_S#B1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028978/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028979,"HDT2_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028979/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028980,"HDT2_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028980/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028981,"HDT2_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028981/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028982,"HDT2_S#D1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028982/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028983,"HDT2_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028983/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028984,"HDT2_S#D1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028984/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028985,"HDT3_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028985/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028986,"HDT3_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028986/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028987,"R_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028987/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028988,"R_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028988/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028989,"HDT3_S#D1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028989/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028990,"HDT3_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028990/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028991,"R_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028991/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028992,"HDT3_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028992/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028993,"HDT3_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028993/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028994,"HDT3_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028994/suppl",,"Simon Archer","Mar 09, 2024"
